Appliance_Id,Name,Main_Category,Sub_Category,Ratings,No_Of_Ratings,Discount_Price,Actual_Price,Savings
AA136,"InstaCuppa Portable Blender for Smoothie, Milk Shakes, Crushing Ice and Juices, USB Rechargeable Personal Blender Machine ...",appliances,All Appliances,4.4,950,2799,3499,700
AA137,"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...",appliances,All Appliances,4,1211,365,899,534
AA138,Bajaj Esteem 400 mm Pedestal Fan (White),appliances,All Appliances,3.8,3109,2319,3855,1536
AA139,"Eureka Forbes Quick Clean DX Vacuum Cleaner with 1200 Watts Powerful Suction Control, 3 Free Reusable dust Bag worth Rs 50...",appliances,All Appliances,3.9,33779,3299,4499,1200
AA140,"SKYTONE Stainless Steel Electric Meat Grinders with Bowl 700W Heavy for Kitchen Food Chopper, Meat, Vegetables, Onion , Ga...",appliances,All Appliances,3.9,1746,1424,2799,1375
AA141,"Tata Swach Bulb 6000-Litre Cartridge, 1 Piece, White, Hollow Fiber Membrane",appliances,All Appliances,4.2,3316,698,699,1
AA142,"Zerfa® Washer Dryer Anti Vibration Pad with Suction Cup Feet, Fridge Washing Machine Support Feet Pads Leveling Feet Anti ...",appliances,All Appliances,4,2465,251,999,748
AA143,"Voltas 1.4 Ton 3 Star Inverter Split AC(Copper, Adjustable Cooling, Anti-dust Filter, 2023 Model, 173V Vectra Platina, White)",appliances,All Appliances,4,1666,31990,70990,39000
AA144,"Simxen Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying 400 W (Blue, Pink)",appliances,All Appliances,4,16163,399,999,600
AA145,"LG 7 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T70SKSF1Z, Middle Free Silver, Smart Motion & TurboDrum)",appliances,All Appliances,4.3,13541,17490,27990,10500
AA146,Orient Electric Wall-49 Wall-Mounted Fan with Remote | 400mm Wall Fan for Home (Crystal White),appliances,All Appliances,4.1,4088,2910,4235,1325
AA147,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & L...",appliances,All Appliances,4.1,12096,3599,9455,5856
AA148,MILTON Smart Egg Boilers | Instand Egg Boiler | Boil up to 7 Eggs,appliances,All Appliances,4.3,1985,999,1899,900
AA149,"FASTMART Coffee Milk Egg Beater Electric Foam Hand Blender Mixer Classic Sleek Design Froth Whisker Latte Maker for Milk,C...",appliances,All Appliances,4.2,11,229,699,470
